epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
202034,2020-08-22,2020-08-27,lab,nl,168.0,0.0,0.0,0.0,0.0,0.0,168.0,2.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0,0.0,168.0,6.0,,
202034,2020-08-22,2020-08-27,lab,pe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202034,2020-08-22,2020-08-27,lab,ns,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0
202034,2020-08-22,2020-08-27,lab,nb,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,0.0
202034,2020-08-22,2020-08-27,region,atlantic,195.0,0.0,0.0,0.0,0.0,0.0,195.0,2.0,187.0,0.0,0.0,0.0,0.0,5.0,187.0,0.0,187.0,0.0,187.0,7.0,19.0,0.0
202034,2020-08-22,2020-08-27,lab,région nord-est,18.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
202034,2020-08-22,2020-08-27,lab,québec-chaudière-appalaches,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.0,,,13.0,0.0
202034,2020-08-22,2020-08-27,lab,centre-du-québec,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,,,4.0,0.0
202034,2020-08-22,2020-08-27,lab,montréal-laval,91.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,86.0,0.0,,,86.0,2.0
202034,2020-08-22,2020-08-27,lab,ouest du québec,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
202034,2020-08-22,2020-08-27,lab,montérégie,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
202034,2020-08-22,2020-08-27,region,qc,124.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,104.0,1.0,103.0,0.0,,,103.0,2.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - ottawa,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0
202034,2020-08-22,2020-08-27,lab,cheo - ottawa,67.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,1.0,12.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - kingston,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
202034,2020-08-22,2020-08-27,lab,uhn / mount sinai hospital,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,,
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - toronto,92.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,92.0,2.0,92.0,2.0
202034,2020-08-22,2020-08-27,lab,sick kids hospital - toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202034,2020-08-22,2020-08-27,lab,sunnybrook & women's college hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - sault ste. marie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - timmins,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
202034,2020-08-22,2020-08-27,lab,st. joseph's - london,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - london,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - orillia,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - thunder bay,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,9.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - sudbury,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - hamilton,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0
202034,2020-08-22,2020-08-27,lab,p.h.o.l. - peterborough,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
