epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,ev_rv_positive_tests,hcov_positive_tests,rsv_positive_tests
201535,2015-09-05,2016-09-01,nation,ca,33,17,12,199,4,250
201536,2015-09-12,2016-09-01,nation,ca,27,35,9,221,1,6
201537,2015-09-19,2016-09-01,nation,ca,29,26,10,296,3,8
201538,2015-09-26,2016-09-01,nation,ca,42,18,2,331,2,9
201539,2015-10-03,2016-09-01,nation,ca,48,19,3,385,8,14
201540,2015-10-10,2016-09-01,nation,ca,68,29,2,429,7,8
201541,2015-10-17,2016-09-01,nation,ca,78,38,8,384,2,15
201542,2015-10-24,2016-09-01,nation,ca,88,39,8,369,8,18
201543,2015-10-31,2016-09-01,nation,ca,89,52,13,299,4,16
201544,2015-11-07,2016-09-01,nation,ca,114,69,11,291,9,24
201545,2015-11-14,2016-09-01,nation,ca,128,58,27,289,9,39
201546,2015-11-21,2016-09-01,nation,ca,136,66,23,296,7,43
201547,2015-11-28,2016-09-01,nation,ca,148,73,20,274,6,57
201548,2015-12-05,2016-09-01,nation,ca,149,71,33,214,22,100
201549,2015-12-12,2016-09-01,nation,ca,143,75,55,218,28,188
201550,2015-12-19,2016-09-01,nation,ca,150,79,54,186,25,240
201551,2015-12-26,2016-09-01,nation,ca,147,72,95,184,27,232
201552,2016-01-02,2016-09-01,nation,ca,119,61,84,181,44,352
201601,2016-01-09,2016-09-01,nation,ca,163,88,136,193,78,465
201602,2016-01-16,2016-09-01,nation,ca,128,67,141,181,65,450
201603,2016-01-23,2016-09-01,nation,ca,105,68,169,141,101,515
201604,2016-01-30,2016-09-01,nation,ca,100,57,177,164,94,631
201605,2016-02-06,2016-09-01,nation,ca,94,68,210,187,130,691
201606,2016-02-13,2016-09-01,nation,ca,92,56,226,168,105,846
201607,2016-02-20,2016-09-01,nation,ca,83,58,257,169,140,667
201608,2016-02-27,2016-09-01,nation,ca,73,81,271,161,149,725
201609,2016-03-05,2016-09-01,nation,ca,91,78,275,200,194,731
201610,2016-03-12,2016-09-01,nation,ca,69,87,243,223,153,728
201611,2016-03-19,2016-09-01,nation,ca,88,70,241,229,150,650
201612,2016-03-26,2016-09-01,nation,ca,62,96,196,247,142,568
201613,2016-04-02,2016-09-01,nation,ca,68,63,169,250,119,543
201614,2016-04-09,2016-09-01,nation,ca,71,75,164,279,122,462
201615,2016-04-16,2016-09-01,nation,ca,71,77,128,261,76,372
201616,2016-04-23,2016-09-01,nation,ca,60,66,103,220,85,312
201617,2016-04-30,2016-09-01,nation,ca,58,50,117,253,75,259
201618,2016-05-07,2016-09-01,nation,ca,93,52,79,274,69,221
201619,2016-05-14,2016-09-01,nation,ca,96,49,74,289,60,189
201620,2016-05-21,2016-09-01,nation,ca,86,40,51,236,47,159
201621,2016-05-28,2016-09-01,nation,ca,109,38,53,187,25,119
201622,2016-06-04,2016-09-01,nation,ca,120,45,45,201,26,103
201623,2016-06-11,2016-09-01,nation,ca,105,30,39,219,22,80
201624,2016-06-18,2016-09-01,nation,ca,138,34,29,210,10,72
201625,2016-06-25,2016-09-01,nation,ca,113,27,12,179,16,57
201626,2016-07-02,2016-09-01,nation,ca,130,37,8,193,18,38
201627,2016-07-09,2016-09-01,nation,ca,117,26,19,184,13,32
201628,2016-07-16,2016-09-01,nation,ca,125,45,6,177,12,27
201629,2016-07-23,2016-09-01,nation,ca,97,26,9,183,14,22
201630,2016-07-30,2016-09-01,nation,ca,98,28,4,160,13,29
201631,2016-08-06,2016-09-01,nation,ca,71,21,8,142,6,22
201632,2016-08-13,2016-09-01,nation,ca,64,27,4,146,9,28
201633,2016-08-20,2016-09-01,nation,ca,56,27,1,163,8,35
201634,2016-08-27,2016-09-01,nation,ca,51,16,5,156,8,26
201535,2015-09-05,2016-08-25,nation,ca,33,17,12,199,4,250
201536,2015-09-12,2016-08-25,nation,ca,27,35,9,221,1,6
201537,2015-09-19,2016-08-25,nation,ca,29,26,10,296,3,8
201538,2015-09-26,2016-08-25,nation,ca,42,18,2,331,2,9
201539,2015-10-03,2016-08-25,nation,ca,48,19,3,385,8,14
201540,2015-10-10,2016-08-25,nation,ca,68,29,2,429,7,8
201541,2015-10-17,2016-08-25,nation,ca,78,38,8,384,2,15
201542,2015-10-24,2016-08-25,nation,ca,88,39,8,369,8,18
201543,2015-10-31,2016-08-25,nation,ca,89,52,13,299,4,16
201544,2015-11-07,2016-08-25,nation,ca,114,69,11,291,9,24
201545,2015-11-14,2016-08-25,nation,ca,128,58,27,289,9,39
201546,2015-11-21,2016-08-25,nation,ca,136,66,23,296,7,43
201547,2015-11-28,2016-08-25,nation,ca,148,73,20,274,6,57
201548,2015-12-05,2016-08-25,nation,ca,149,71,33,214,22,100
201549,2015-12-12,2016-08-25,nation,ca,143,75,55,218,28,188
201550,2015-12-19,2016-08-25,nation,ca,150,79,54,186,25,240
201551,2015-12-26,2016-08-25,nation,ca,147,72,95,184,27,232
201552,2016-01-02,2016-08-25,nation,ca,119,61,84,181,44,352
201601,2016-01-09,2016-08-25,nation,ca,163,88,136,193,78,465
201602,2016-01-16,2016-08-25,nation,ca,128,67,141,181,65,450
201603,2016-01-23,2016-08-25,nation,ca,105,68,169,141,101,515
201604,2016-01-30,2016-08-25,nation,ca,100,57,177,164,94,631
201605,2016-02-06,2016-08-25,nation,ca,94,68,210,187,130,691
201606,2016-02-13,2016-08-25,nation,ca,92,56,226,168,105,846
201607,2016-02-20,2016-08-25,nation,ca,83,58,257,169,140,667
201608,2016-02-27,2016-08-25,nation,ca,73,81,271,161,149,725
201609,2016-03-05,2016-08-25,nation,ca,91,78,275,200,194,731
201610,2016-03-12,2016-08-25,nation,ca,69,87,243,223,153,728
201611,2016-03-19,2016-08-25,nation,ca,88,70,241,229,150,650
201612,2016-03-26,2016-08-25,nation,ca,62,96,196,247,142,568
201613,2016-04-02,2016-08-25,nation,ca,68,63,169,250,119,543
201614,2016-04-09,2016-08-25,nation,ca,71,75,164,279,122,462
201615,2016-04-16,2016-08-25,nation,ca,71,77,128,261,76,372
201616,2016-04-23,2016-08-25,nation,ca,60,66,103,220,85,312
201617,2016-04-30,2016-08-25,nation,ca,58,50,117,253,75,259
201618,2016-05-07,2016-08-25,nation,ca,93,52,79,274,69,221
201619,2016-05-14,2016-08-25,nation,ca,96,49,74,289,60,189
201620,2016-05-21,2016-08-25,nation,ca,86,40,51,236,47,159
201621,2016-05-28,2016-08-25,nation,ca,109,38,53,187,25,119
201622,2016-06-04,2016-08-25,nation,ca,120,45,45,201,26,103
201623,2016-06-11,2016-08-25,nation,ca,105,30,39,219,22,80
201624,2016-06-18,2016-08-25,nation,ca,138,34,29,210,10,72
201625,2016-06-25,2016-08-25,nation,ca,113,27,12,179,16,57
201626,2016-07-02,2016-08-25,nation,ca,130,37,8,193,18,38
201627,2016-07-09,2016-08-25,nation,ca,117,26,19,184,13,32
201628,2016-07-16,2016-08-25,nation,ca,125,45,6,177,12,27
201629,2016-07-23,2016-08-25,nation,ca,97,26,9,183,14,22
201630,2016-07-30,2016-08-25,nation,ca,98,28,4,160,13,29
201631,2016-08-06,2016-08-25,nation,ca,71,21,8,142,6,22
201632,2016-08-13,2016-08-25,nation,ca,64,27,4,146,9,28
201633,2016-08-20,2016-08-25,nation,ca,56,27,1,150,8,35
201535,2015-09-05,2016-08-18,nation,ca,33,17,12,199,4,250
201536,2015-09-12,2016-08-18,nation,ca,27,35,9,221,1,6
201537,2015-09-19,2016-08-18,nation,ca,29,26,10,296,3,8
201538,2015-09-26,2016-08-18,nation,ca,42,18,2,331,2,9
201539,2015-10-03,2016-08-18,nation,ca,48,19,3,385,8,14
201540,2015-10-10,2016-08-18,nation,ca,68,29,2,429,7,8
201541,2015-10-17,2016-08-18,nation,ca,78,38,8,384,2,15
201542,2015-10-24,2016-08-18,nation,ca,88,39,8,369,8,18
201543,2015-10-31,2016-08-18,nation,ca,89,52,13,299,4,16
201544,2015-11-07,2016-08-18,nation,ca,114,69,11,291,9,24
201545,2015-11-14,2016-08-18,nation,ca,128,58,27,289,9,39
201546,2015-11-21,2016-08-18,nation,ca,136,66,23,296,7,43
201547,2015-11-28,2016-08-18,nation,ca,148,73,20,274,6,57
201548,2015-12-05,2016-08-18,nation,ca,149,71,33,214,22,100
201549,2015-12-12,2016-08-18,nation,ca,143,75,55,218,28,188
201550,2015-12-19,2016-08-18,nation,ca,150,79,54,186,25,240
201551,2015-12-26,2016-08-18,nation,ca,147,72,95,184,27,232
201552,2016-01-02,2016-08-18,nation,ca,119,61,84,181,44,352
201601,2016-01-09,2016-08-18,nation,ca,163,88,136,193,78,465
201602,2016-01-16,2016-08-18,nation,ca,128,67,141,181,65,450
201603,2016-01-23,2016-08-18,nation,ca,105,68,169,141,101,515
201604,2016-01-30,2016-08-18,nation,ca,100,57,177,164,94,631
201605,2016-02-06,2016-08-18,nation,ca,94,68,210,187,130,691
201606,2016-02-13,2016-08-18,nation,ca,92,56,226,168,105,846
201607,2016-02-20,2016-08-18,nation,ca,83,58,257,169,140,667
201608,2016-02-27,2016-08-18,nation,ca,73,81,271,161,149,725
201609,2016-03-05,2016-08-18,nation,ca,91,78,275,200,194,731
201610,2016-03-12,2016-08-18,nation,ca,69,87,243,223,153,728
201611,2016-03-19,2016-08-18,nation,ca,88,70,241,229,150,650
201612,2016-03-26,2016-08-18,nation,ca,62,96,196,247,142,568
201613,2016-04-02,2016-08-18,nation,ca,68,63,169,250,119,543
201614,2016-04-09,2016-08-18,nation,ca,71,75,164,279,122,462
201615,2016-04-16,2016-08-18,nation,ca,71,77,128,261,76,372
201616,2016-04-23,2016-08-18,nation,ca,60,66,103,220,85,312
201617,2016-04-30,2016-08-18,nation,ca,58,50,117,253,75,259
201618,2016-05-07,2016-08-18,nation,ca,93,52,79,274,69,221
201619,2016-05-14,2016-08-18,nation,ca,96,49,74,289,60,189
201620,2016-05-21,2016-08-18,nation,ca,86,40,51,236,47,159
201621,2016-05-28,2016-08-18,nation,ca,109,38,53,187,25,119
201622,2016-06-04,2016-08-18,nation,ca,120,45,45,201,26,103
201623,2016-06-11,2016-08-18,nation,ca,105,30,39,219,22,80
201624,2016-06-18,2016-08-18,nation,ca,138,34,29,210,10,72
201625,2016-06-25,2016-08-18,nation,ca,113,27,12,179,16,57
201626,2016-07-02,2016-08-18,nation,ca,130,37,8,193,18,38
201627,2016-07-09,2016-08-18,nation,ca,117,26,19,184,13,32
201628,2016-07-16,2016-08-18,nation,ca,125,45,6,177,12,27
201629,2016-07-23,2016-08-18,nation,ca,97,26,9,183,14,22
201630,2016-07-30,2016-08-18,nation,ca,98,28,4,160,13,29
201631,2016-08-06,2016-08-18,nation,ca,68,20,8,127,6,24
201632,2016-08-13,2016-08-18,nation,ca,59,24,4,124,8,27
201535,2015-09-05,2016-08-11,nation,ca,33,17,12,199,4,250
201536,2015-09-12,2016-08-11,nation,ca,27,35,9,221,1,6
201537,2015-09-19,2016-08-11,nation,ca,29,26,10,296,3,8
201538,2015-09-26,2016-08-11,nation,ca,42,18,2,331,2,9
201539,2015-10-03,2016-08-11,nation,ca,48,19,3,385,8,14
201540,2015-10-10,2016-08-11,nation,ca,68,29,2,429,7,8
201541,2015-10-17,2016-08-11,nation,ca,78,38,8,384,2,15
201542,2015-10-24,2016-08-11,nation,ca,88,39,8,369,8,18
201543,2015-10-31,2016-08-11,nation,ca,89,52,13,299,4,16
201544,2015-11-07,2016-08-11,nation,ca,114,69,11,291,9,24
201545,2015-11-14,2016-08-11,nation,ca,128,58,27,289,9,39
201546,2015-11-21,2016-08-11,nation,ca,136,66,23,296,7,43
201547,2015-11-28,2016-08-11,nation,ca,148,73,20,274,6,57
201548,2015-12-05,2016-08-11,nation,ca,149,71,33,214,22,100
201549,2015-12-12,2016-08-11,nation,ca,143,75,55,218,28,188
201550,2015-12-19,2016-08-11,nation,ca,150,79,54,186,25,240
201551,2015-12-26,2016-08-11,nation,ca,147,72,95,184,27,232
201552,2016-01-02,2016-08-11,nation,ca,119,61,84,181,44,352
201601,2016-01-09,2016-08-11,nation,ca,163,88,136,193,78,465
201602,2016-01-16,2016-08-11,nation,ca,128,67,141,181,65,450
201603,2016-01-23,2016-08-11,nation,ca,105,68,169,141,101,515
201604,2016-01-30,2016-08-11,nation,ca,100,57,177,164,94,631
201605,2016-02-06,2016-08-11,nation,ca,94,68,210,187,130,691
201606,2016-02-13,2016-08-11,nation,ca,92,56,226,168,105,846
201607,2016-02-20,2016-08-11,nation,ca,83,58,257,169,140,667
201608,2016-02-27,2016-08-11,nation,ca,73,81,271,161,149,725
201609,2016-03-05,2016-08-11,nation,ca,91,78,275,200,194,731
201610,2016-03-12,2016-08-11,nation,ca,69,87,243,223,153,728
201611,2016-03-19,2016-08-11,nation,ca,88,70,241,229,150,650
201612,2016-03-26,2016-08-11,nation,ca,62,96,196,247,142,568
201613,2016-04-02,2016-08-11,nation,ca,68,63,169,250,119,543
201614,2016-04-09,2016-08-11,nation,ca,71,75,164,279,122,462
201615,2016-04-16,2016-08-11,nation,ca,71,77,128,261,76,372
201616,2016-04-23,2016-08-11,nation,ca,60,66,103,220,85,312
201617,2016-04-30,2016-08-11,nation,ca,58,50,117,253,75,259
201618,2016-05-07,2016-08-11,nation,ca,93,52,79,274,69,221
201619,2016-05-14,2016-08-11,nation,ca,96,49,74,289,60,189
201620,2016-05-21,2016-08-11,nation,ca,86,40,51,236,47,159
201621,2016-05-28,2016-08-11,nation,ca,109,38,53,187,25,119
201622,2016-06-04,2016-08-11,nation,ca,120,45,45,201,26,103
201623,2016-06-11,2016-08-11,nation,ca,105,30,39,219,22,80
201624,2016-06-18,2016-08-11,nation,ca,138,34,29,210,10,72
201625,2016-06-25,2016-08-11,nation,ca,113,27,12,179,16,57
201626,2016-07-02,2016-08-11,nation,ca,130,37,8,193,18,38
201627,2016-07-09,2016-08-11,nation,ca,117,26,19,184,13,32
201628,2016-07-16,2016-08-11,nation,ca,125,45,6,177,12,27
201629,2016-07-23,2016-08-11,nation,ca,97,26,9,183,14,22
201630,2016-07-30,2016-08-11,nation,ca,98,28,4,160,13,29
201631,2016-08-06,2016-08-11,nation,ca,68,20,8,127,6,24
201535,2015-09-05,2016-08-04,nation,ca,33,17,12,199,4,250
201536,2015-09-12,2016-08-04,nation,ca,27,35,9,221,1,6
201537,2015-09-19,2016-08-04,nation,ca,29,26,10,296,3,8
201538,2015-09-26,2016-08-04,nation,ca,42,18,2,331,2,9
201539,2015-10-03,2016-08-04,nation,ca,48,19,3,385,8,14
201540,2015-10-10,2016-08-04,nation,ca,68,29,2,429,7,8
201541,2015-10-17,2016-08-04,nation,ca,78,38,8,384,2,15
201542,2015-10-24,2016-08-04,nation,ca,88,39,8,369,8,18
201543,2015-10-31,2016-08-04,nation,ca,89,52,13,299,4,16
201544,2015-11-07,2016-08-04,nation,ca,114,69,11,291,9,24
201545,2015-11-14,2016-08-04,nation,ca,128,58,27,289,9,39
201546,2015-11-21,2016-08-04,nation,ca,136,66,23,296,7,43
201547,2015-11-28,2016-08-04,nation,ca,148,73,20,274,6,57
201548,2015-12-05,2016-08-04,nation,ca,149,71,33,214,22,100
201549,2015-12-12,2016-08-04,nation,ca,143,75,55,218,28,188
