,epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_h1n1_2009_positive_tests,flu_ah1_positive_tests,flu_ah3_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,other_hpiv_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
22,201434,2014-08-23,2014-08-28,lab,london p.h.l.,37.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,38.0,0.0,26.0,10.0,23.0,0.0
23,201434,2014-08-23,2014-08-28,lab,orillia p.h.l.,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
24,201434,2014-08-23,2014-08-28,lab,thunder bay,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,16.0,0.0,7.0,0.0,5.0,0.0
25,201434,2014-08-23,2014-08-28,lab,sudbury p.h.l.,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0
26,201434,2014-08-23,2014-08-28,lab,hamilton p.h.l.,24.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,24.0,0.0,13.0,3.0,11.0,0.0
27,201434,2014-08-23,2014-08-28,lab,peterborough p.h.l.,15.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,16.0,0.0,11.0,4.0,9.0,0.0
28,201434,2014-08-23,2014-08-28,region,on,340.0,0.0,0.0,0.0,0.0,0.0,349.0,2.0,349.0,2.0,1.0,10.0,0.0,0.0,349.0,3.0,325.0,0.0,168.0,39.0,139.0,0.0
29,201434,2014-08-23,2014-08-28,lab,mb,84.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,47.0,1.0,0.0,1.0,0.0,0.0,47.0,3.0,26.0,0.0,47.0,11.0,26.0,0.0
30,201434,2014-08-23,2014-08-28,lab,regina,79.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,1.0,0.0,2.0,0.0,0.0,79.0,0.0,79.0,0.0,79.0,27.0,79.0,0.0
31,201434,2014-08-23,2014-08-28,region,atlantic,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,45.0,0.0,45.0,10.0,45.0,0.0
32,201434,2014-08-23,2014-08-28,lab,sk,124.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,1.0,0.0,2.0,0.0,0.0,124.0,2.0,124.0,0.0,124.0,37.0,124.0,0.0
33,201434,2014-08-23,2014-08-28,lab,ab,258.0,3.0,0.0,0.0,3.0,0.0,258.0,2.0,258.0,10.0,0.0,0.0,0.0,0.0,258.0,3.0,258.0,0.0,258.0,46.0,258.0,0.0
34,201434,2014-08-23,2014-08-28,region,prairies,466.0,3.0,0.0,0.0,3.0,0.0,425.0,3.0,429.0,12.0,0.0,3.0,0.0,0.0,429.0,8.0,408.0,0.0,429.0,94.0,408.0,0.0
35,201434,2014-08-23,2014-08-28,region,bc,70.0,0.0,0.0,0.0,3.0,0.0,70.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,34.0,0.0,34.0,0.0,34.0,11.0,34.0,0.0
