epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201934,2019-08-24,2019-08-29,lab,nl,29.0,0.0,0.0,0.0,0.0,0.0,29,0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,29.0,8.0,,
201934,2019-08-24,2019-08-29,lab,pe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,ns,9.0,0.0,0.0,0.0,0.0,0.0,9,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
201934,2019-08-24,2019-08-29,lab,nb,84.0,0.0,0.0,1.0,1.0,0.0,84,0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,34.0,1.0,34.0,0.0
201934,2019-08-24,2019-08-29,region,atlantic,122.0,0.0,0.0,1.0,1.0,0.0,122,0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,65.0,9.0,36.0,0.0
201934,2019-08-24,2019-08-29,lab,région nord-est,15.0,0.0,0.0,0.0,0.0,0.0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201934,2019-08-24,2019-08-29,lab,québec-chaudière-appalaches,48.0,0.0,0.0,0.0,0.0,0.0,54,0,66.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,0.0,,,63.0,0.0
201934,2019-08-24,2019-08-29,lab,centre-du-québec,16.0,0.0,0.0,0.0,0.0,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201934,2019-08-24,2019-08-29,lab,montréal-laval,404.0,0.0,0.0,1.0,1.0,2.0,419,0,354.0,2.0,0.0,1.0,1.0,0.0,354.0,16.0,0.0,0.0,,,342.0,1.0
201934,2019-08-24,2019-08-29,lab,ouest du québec,17.0,0.0,0.0,0.0,0.0,0.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201934,2019-08-24,2019-08-29,lab,montérégie,16.0,0.0,0.0,1.0,1.0,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201934,2019-08-24,2019-08-29,region,qc,516.0,0.0,0.0,2.0,2.0,2.0,536,1,420.0,2.0,0.0,1.0,1.0,0.0,423.0,18.0,0.0,0.0,,,405.0,1.0
201934,2019-08-24,2019-08-29,lab,ottawa p.h.l.,13.0,0.0,0.0,0.0,0.0,0.0,13,0,12.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,cheo - ottawa,56.0,0.0,0.0,0.0,0.0,1.0,56,1,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,16.0,2.0,15.0,0.0
201934,2019-08-24,2019-08-29,lab,kingston p.h.l.,9.0,0.0,0.0,0.0,0.0,0.0,9,0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,uhn / mount sinai hospital,142.0,0.0,0.0,3.0,3.0,1.0,142,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,,,,
201934,2019-08-24,2019-08-29,lab,p.h.o.l. - toronto,151.0,5.0,2.0,0.0,7.0,0.0,150,1,139.0,0.0,0.0,0.0,0.0,0.0,139.0,1.0,123.0,0.0,17.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,sick kids hospital - toronto,37.0,0.0,0.0,0.0,0.0,0.0,37,0,37.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,37.0,1.0,37.0,9.0,37.0,1.0
201934,2019-08-24,2019-08-29,lab,sunnybrook & women's college hsc,7.0,0.0,0.0,0.0,0.0,0.0,7,0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0
201934,2019-08-24,2019-08-29,lab,sault ste. marie p.h.l.,2.0,0.0,0.0,0.0,0.0,0.0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,timmins p.h.l.,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,st. joseph's - london,25.0,0.0,0.0,0.0,0.0,0.0,25,0,25.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,23.0,3.0,23.0,0.0
201934,2019-08-24,2019-08-29,lab,london p.h.l.,33.0,0.0,0.0,0.0,0.0,0.0,33,0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,orillia p.h.l.,3.0,0.0,0.0,0.0,0.0,0.0,3,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,thunder bay p.h.l.,6.0,0.0,0.0,0.0,0.0,0.0,6,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,sudbury p.h.l.,4.0,0.0,0.0,0.0,0.0,0.0,4,0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,hamilton p.h.l.,28.0,0.0,0.0,0.0,0.0,0.0,28,1,27.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,lab,peterborough p.h.l.,12.0,0.0,1.0,0.0,1.0,0.0,12,0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0
201934,2019-08-24,2019-08-29,region,on,528.0,5.0,3.0,3.0,11.0,2.0,527,5,343.0,3.0,0.0,3.0,1.0,0.0,327.0,2.0,321.0,2.0,106.0,14.0,82.0,1.0
201934,2019-08-24,2019-08-29,lab,mb,123.0,0.0,0.0,0.0,0.0,0.0,123,0,98.0,0.0,0.0,1.0,0.0,0.0,98.0,1.0,41.0,0.0,98.0,11.0,41.0,1.0
201934,2019-08-24,2019-08-29,lab,regina,94.0,0.0,0.0,0.0,0.0,0.0,94,0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,10.0,37.0,0.0
201934,2019-08-24,2019-08-29,lab,saskatoon,52.0,0.0,0.0,1.0,1.0,1.0,52,15,52.0,0.0,0.0,1.0,0.0,0.0,52.0,2.0,52.0,0.0,52.0,17.0,52.0,0.0
201934,2019-08-24,2019-08-29,lab,province of saskatchewan,146.0,0.0,0.0,1.0,1.0,1.0,146,15,89.0,0.0,0.0,1.0,0.0,0.0,89.0,2.0,89.0,0.0,89.0,27.0,89.0,0.0
201934,2019-08-24,2019-08-29,lab,province of alberta,432.0,2.0,2.0,0.0,4.0,1.0,404,0,404.0,12.0,0.0,4.0,3.0,0.0,404.0,7.0,404.0,0.0,404.0,80.0,404.0,0.0
201934,2019-08-24,2019-08-29,region,prairies,701.0,2.0,2.0,1.0,5.0,2.0,673,15,591.0,12.0,0.0,6.0,3.0,0.0,591.0,10.0,534.0,0.0,591.0,118.0,534.0,1.0
201934,2019-08-24,2019-08-29,region,bc,218.0,0.0,5.0,0.0,5.0,0.0,218,1,131.0,3.0,0.0,2.0,0.0,0.0,131.0,0.0,131.0,0.0,117.0,21.0,117.0,1.0
201934,2019-08-24,2019-08-29,lab,yk,3.0,0.0,2.0,0.0,2.0,0.0,3,0,,,,,,,,,,,,,,
201934,2019-08-24,2019-08-29,lab,nt,8.0,0.0,0.0,0.0,0.0,0.0,8,0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,3.0,8.0,0.0
201934,2019-08-24,2019-08-29,lab,nu,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201934,2019-08-24,2019-08-29,region,territories,12.0,0.0,2.0,0.0,2.0,0.0,12,0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,3.0,9.0,0.0
201934,2019-08-24,2019-08-29,nation,ca,2097.0,7.0,12.0,7.0,26.0,6.0,2088,22,1559.0,20.0,0.0,12.0,5.0,0.0,1546.0,30.0,1060.0,2.0,888.0,165.0,1183.0,4.0
201933,2019-08-17,2019-08-22,lab,nl,25.0,0.0,0.0,0.0,0.0,0.0,25,0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,1.0,25.0,4.0,,
201933,2019-08-17,2019-08-22,lab,pe,2.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201933,2019-08-17,2019-08-22,lab,ns,16.0,0.0,0.0,0.0,0.0,0.0,16,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
201933,2019-08-17,2019-08-22,lab,nb,64.0,0.0,0.0,0.0,0.0,0.0,64,0,28.0,0.0,0.0,1.0,0.0,0.0,28.0,3.0,28.0,0.0,28.0,8.0,28.0,1.0
201933,2019-08-17,2019-08-22,region,atlantic,107.0,0.0,0.0,0.0,0.0,0.0,107,0,58.0,0.0,0.0,1.0,0.0,0.0,58.0,3.0,58.0,1.0,58.0,12.0,33.0,1.0
201933,2019-08-17,2019-08-22,lab,région nord-est,16.0,0.0,0.0,0.0,0.0,0.0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
