epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202435,2024-08-31,2024-09-05,lab,phol - orillia,21.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,2.0,15.0,0.0
202435,2024-08-31,2024-09-05,lab,phol - sudbury,11.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,0.0
202435,2024-08-31,2024-09-05,lab,phol - timmins,28.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,0.0
202435,2024-08-31,2024-09-05,lab,phol - sault ste. marie,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
202435,2024-08-31,2024-09-05,lab,sault area hospital,76.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,56.0,0.0,56.0,3.0,56.0,0.0
202435,2024-08-31,2024-09-05,lab,phol - thunder bay,20.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0
202435,2024-08-31,2024-09-05,region,on,6376.0,986.0,5072.0,20.0,7.0,7.0,7.0,18.0,2.0,5072.0,13.0,3589.0,0.0,0.0,5.0,2.0,46.0,3589.0,12.0,3613.0,7.0,3613.0,236.0,2272.0,8.0
202435,2024-08-31,2024-09-05,lab,mb,1095.0,188.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,43.0,1.0,0.0,2.0,0.0,0.0,43.0,1.0,83.0,0.0,43.0,11.0,83.0,0.0
202435,2024-08-31,2024-09-05,lab,sk,1100.0,155.0,793.0,23.0,0.0,0.0,23.0,23.0,0.0,705.0,2.0,279.0,0.0,0.0,0.0,1.0,0.0,279.0,10.0,279.0,1.0,279.0,37.0,279.0,0.0
202435,2024-08-31,2024-09-05,lab,ab,,,795.0,8.0,5.0,3.0,0.0,8.0,0.0,729.0,1.0,729.0,3.0,4.0,1.0,1.0,0.0,729.0,7.0,682.0,0.0,725.0,100.0,729.0,2.0
202435,2024-08-31,2024-09-05,region,prairies,2195.0,343.0,1909.0,31.0,5.0,3.0,23.0,31.0,0.0,1755.0,4.0,1051.0,4.0,4.0,3.0,2.0,0.0,1051.0,18.0,1044.0,1.0,1047.0,148.0,1091.0,2.0
202435,2024-08-31,2024-09-05,region,bc,2498.0,477.0,2214.0,31.0,8.0,1.0,1.0,30.0,1.0,2440.0,70.0,600.0,3.0,0.0,5.0,1.0,0.0,600.0,2.0,600.0,9.0,596.0,55.0,596.0,1.0
202435,2024-08-31,2024-09-05,lab,yk,46.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,,,,,,,,,,,
202435,2024-08-31,2024-09-05,lab,nt,26.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,,,,,,,26.0,0.0,26.0,0.0,26.0,11.0,,
202435,2024-08-31,2024-09-05,lab,nu,107.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,,,,,,,,,,,,,,
202435,2024-08-31,2024-09-05,region,territories,179.0,23.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,,,,,,,26.0,0.0,26.0,0.0,26.0,11.0,,
202435,2024-08-31,2024-09-05,nation,ca,23490.0,4472.0,17563.0,93.0,20.0,11.0,39.0,87.0,6.0,16592.0,145.0,7240.0,17.0,10.0,20.0,14.0,46.0,7281.0,63.0,7276.0,28.0,5838.0,496.0,5896.0,30.0
202436,2024-09-07,2024-09-12,lab,nl,523.0,69.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,413.0,2.0,0.0,1.0,3.0,0.0,413.0,9.0,413.0,1.0,413.0,28.0,413.0,2.0
202436,2024-09-07,2024-09-12,lab,pe,139.0,22.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,7.0,20.0,0.0
202436,2024-09-07,2024-09-12,lab,ns,1198.0,247.0,1143.0,2.0,0.0,0.0,1.0,1.0,1.0,1047.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,44.0,10.0,44.0,0.0
202436,2024-09-07,2024-09-12,lab,nb,1073.0,180.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,99.0,0.0,99.0,12.0,99.0,1.0
202436,2024-09-07,2024-09-12,region,atlantic,2933.0,518.0,2242.0,2.0,0.0,0.0,1.0,1.0,1.0,2146.0,2.0,576.0,3.0,0.0,2.0,3.0,0.0,576.0,10.0,576.0,1.0,576.0,57.0,576.0,3.0
202436,2024-09-07,2024-09-12,lab,région nord-est,1271.0,235.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,131.0,0.0,0.0,2.0,0.0,0.0,131.0,1.0,120.0,2.0,131.0,21.0,131.0,1.0
202436,2024-09-07,2024-09-12,lab,québec-chaudière-appalaches,1512.0,288.0,1111.0,3.0,0.0,0.0,2.0,2.0,1.0,1111.0,11.0,514.0,3.0,0.0,0.0,2.0,0.0,531.0,13.0,516.0,8.0,547.0,77.0,457.0,10.0
202436,2024-09-07,2024-09-12,lab,centre-du-québec,2178.0,570.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,29.0,5.0,30.0,1.0
202436,2024-09-07,2024-09-12,lab,montréal-laval,1882.0,424.0,1401.0,3.0,0.0,0.0,2.0,2.0,1.0,1268.0,26.0,746.0,4.0,6.0,4.0,4.0,0.0,746.0,6.0,747.0,1.0,773.0,70.0,746.0,4.0
202436,2024-09-07,2024-09-12,lab,ouest du québec,1262.0,319.0,650.0,2.0,0.0,0.0,2.0,2.0,0.0,650.0,10.0,28.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,28.0,0.0,28.0,10.0,28.0,0.0
202436,2024-09-07,2024-09-12,lab,montérégie,1335.0,311.0,1130.0,1.0,0.0,0.0,1.0,1.0,0.0,1130.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,15.0,1.0,8.0,0.0
202436,2024-09-07,2024-09-12,region,qc,9440.0,2147.0,6046.0,9.0,0.0,0.0,7.0,7.0,2.0,5100.0,57.0,1456.0,8.0,6.0,6.0,6.0,0.0,1473.0,21.0,1448.0,11.0,1523.0,184.0,1400.0,16.0
202436,2024-09-07,2024-09-12,lab,phol - ottawa,148.0,80.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,56.0,0.0,0.0,0.0,0.0,4.0,56.0,0.0,56.0,0.0,56.0,3.0,56.0,0.0
202436,2024-09-07,2024-09-12,lab,eorla,802.0,85.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,29.0,6.0,29.0,0.0
