epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,evrv_positive_tests,hcov_positive_tests,rsv_positive_tests
201709,2017-03-04,2017-04-13,nation,ca,145,78,201,318,306,1069
201710,2017-03-11,2017-04-13,nation,ca,156,83,173,285,282,873
201711,2017-03-18,2017-04-13,nation,ca,170,86,179,283,269,700
201712,2017-03-25,2017-04-13,nation,ca,181,78,211,297,228,575
201713,2017-04-01,2017-04-13,nation,ca,172,70,190,258,242,479
201714,2017-04-08,2017-04-13,nation,ca,205,75,189,307,228,357
201635,2016-09-03,2017-04-06,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-04-06,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-04-06,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-04-06,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-04-06,nation,ca,47,28,3,511,10,35
201640,2016-10-09,2017-04-06,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-04-06,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-04-06,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-04-06,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-04-06,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-04-06,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-04-06,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-04-06,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-04-06,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-04-06,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-04-06,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-04-06,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-04-06,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-04-06,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-04-06,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-04-06,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-04-06,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-04-06,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-04-06,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-04-06,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-04-06,nation,ca,134,76,151,229,255,1198
201709,2017-03-04,2017-04-06,nation,ca,145,78,201,318,306,1069
201710,2017-03-11,2017-04-06,nation,ca,156,83,173,285,282,873
201711,2017-03-18,2017-04-06,nation,ca,170,86,179,283,269,700
201712,2017-03-25,2017-04-06,nation,ca,181,78,211,297,228,575
201713,2017-04-01,2017-04-06,nation,ca,170,69,187,250,237,474
201635,2016-09-03,2017-03-30,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-03-30,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-03-30,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-03-30,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-03-30,nation,ca,47,28,3,511,10,35
201640,2016-10-09,2017-03-30,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-03-30,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-03-30,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-03-30,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-03-30,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-03-30,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-03-30,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-03-30,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-03-30,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-03-30,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-03-30,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-03-30,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-03-30,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-03-30,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-03-30,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-03-30,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-03-30,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-03-30,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-03-30,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-03-30,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-03-30,nation,ca,134,76,151,229,255,1198
201709,2017-03-04,2017-03-30,nation,ca,145,78,201,318,306,1069
201710,2017-03-11,2017-03-30,nation,ca,156,83,173,285,282,873
201711,2017-03-18,2017-03-30,nation,ca,170,86,179,283,269,700
201712,2017-03-25,2017-03-30,nation,ca,170,77,206,277,219,568
201635,2016-09-03,2017-03-23,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-03-23,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-03-23,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-03-23,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-03-23,nation,ca,47,28,3,511,10,35
201640,2016-10-09,2017-03-23,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-03-23,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-03-23,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-03-23,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-03-23,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-03-23,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-03-23,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-03-23,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-03-23,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-03-23,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-03-23,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-03-23,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-03-23,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-03-23,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-03-23,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-03-23,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-03-23,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-03-23,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-03-23,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-03-23,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-03-23,nation,ca,134,76,151,229,255,1198
201709,2017-03-04,2017-03-23,nation,ca,145,78,201,318,306,1069
201710,2017-03-11,2017-03-23,nation,ca,156,83,173,285,282,873
201711,2017-03-18,2017-03-23,nation,ca,149,83,160,255,250,687
201635,2016-09-03,2017-03-16,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-03-16,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-03-16,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-03-16,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-03-16,nation,ca,47,28,3,511,10,35
201640,2016-10-09,2017-03-16,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-03-16,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-03-16,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-03-16,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-03-16,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-03-16,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-03-16,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-03-16,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-03-16,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-03-16,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-03-16,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-03-16,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-03-16,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-03-16,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-03-16,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-03-16,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-03-16,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-03-16,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-03-16,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-03-16,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-03-16,nation,ca,134,76,151,229,255,1198
201709,2017-03-04,2017-03-16,nation,ca,145,78,201,318,306,1072
201710,2017-03-11,2017-03-16,nation,ca,146,81,163,270,266,864
201635,2016-09-03,2017-03-09,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-03-09,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-03-09,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-03-09,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-03-09,nation,ca,47,28,3,511,10,35
201640,2016-10-09,2017-03-09,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-03-09,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-03-09,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-03-09,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-03-09,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-03-09,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-03-09,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-03-09,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-03-09,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-03-09,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-03-09,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-03-09,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-03-09,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-03-09,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-03-09,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-03-09,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-03-09,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-03-09,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-03-09,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-03-09,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-03-09,nation,ca,134,76,151,229,255,1198
201709,2017-03-04,2017-03-09,nation,ca,139,76,199,306,301,1066
201635,2016-09-03,2017-03-02,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-03-02,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-03-02,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-03-02,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-03-02,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-03-02,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-03-02,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-03-02,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-03-02,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-03-02,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-03-02,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-03-02,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-03-02,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-03-02,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-03-02,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-03-02,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-03-02,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-03-02,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-03-02,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-03-02,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-03-02,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-03-02,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-03-02,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-03-02,nation,ca,140,88,136,268,381,1410
201707,2017-02-18,2017-03-02,nation,ca,144,72,141,273,335,1348
201708,2017-02-25,2017-03-02,nation,ca,129,75,149,213,236,1173
201635,2016-09-03,2017-02-23,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-02-23,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-02-23,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-02-23,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-02-23,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-02-23,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-02-23,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-02-23,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-02-23,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-02-23,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-02-23,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-02-23,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-02-23,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-02-23,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-02-23,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-02-23,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-02-23,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-02-23,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-02-23,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-02-23,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-02-23,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-02-23,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-02-23,nation,ca,164,91,135,247,281,1526
201706,2017-02-11,2017-02-23,nation,ca,140,88,136,268,382,1410
201707,2017-02-18,2017-02-23,nation,ca,133,69,132,265,319,1234
201635,2016-09-03,2017-02-16,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-02-16,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-02-16,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-02-16,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-02-16,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-02-16,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-02-16,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-02-16,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-02-16,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-02-16,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-02-16,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-02-16,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-02-16,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-02-16,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-02-16,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-02-16,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-02-16,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-02-16,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-02-16,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-02-16,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-02-16,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-02-16,nation,ca,167,99,137,267,375,1623
201705,2017-02-04,2017-02-16,nation,ca,164,91,135,247,279,1526
201706,2017-02-11,2017-02-16,nation,ca,138,85,133,259,374,1374
201635,2016-09-03,2017-02-09,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-02-09,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-02-09,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-02-09,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-02-09,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-02-09,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-02-09,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-02-09,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-02-09,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-02-09,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-02-09,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-02-09,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-02-09,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-02-09,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-02-09,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-02-09,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-02-09,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-02-09,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-02-09,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-02-09,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-02-09,nation,ca,154,81,182,229,444,1631
201704,2017-01-28,2017-02-09,nation,ca,167,99,137,267,377,1632
201705,2017-02-04,2017-02-09,nation,ca,161,91,132,237,274,1511
201635,2016-09-03,2017-02-02,nation,ca,49,26,11,230,5,25
201636,2016-09-10,2017-02-02,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-02-02,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-02-02,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-02-02,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-02-02,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-02-02,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-02-02,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-02-02,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-02-02,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-02-02,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-02-02,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-02-02,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-02-02,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-02-02,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-02-02,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-02-02,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-02-02,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-02-02,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-02-02,nation,ca,209,100,150,306,506,1626
201703,2017-01-21,2017-02-02,nation,ca,154,81,182,229,445,1619
201704,2017-01-28,2017-02-02,nation,ca,164,98,136,260,368,1585
201635,2016-09-03,2017-01-25,nation,ca,49,26,11,230,5,250
201636,2016-09-10,2017-01-25,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-01-25,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-01-25,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-01-25,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-01-25,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-01-25,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-01-25,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-01-25,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-01-25,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-01-25,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-01-25,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-01-25,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-01-25,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-01-25,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-01-25,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-01-25,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-01-25,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-01-25,nation,ca,206,101,132,288,416,1632
201702,2017-01-14,2017-01-25,nation,ca,209,100,149,307,504,1626
201703,2017-01-21,2017-01-25,nation,ca,146,76,168,206,427,1570
201635,2016-09-03,2017-01-19,nation,ca,49,26,11,230,5,250
201636,2016-09-10,2017-01-19,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-01-19,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-01-19,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-01-19,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-01-19,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-01-19,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-01-19,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-01-19,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-01-19,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-01-19,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-01-19,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2017-01-19,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2017-01-19,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-01-19,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-01-19,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-01-19,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-01-19,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-01-19,nation,ca,207,100,132,298,422,1633
201702,2017-01-14,2017-01-19,nation,ca,457,93,141,300,491,1542
201635,2016-09-05,2017-01-12,nation,ca,49,26,11,230,5,250
201636,2016-09-12,2017-01-12,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-01-12,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-01-12,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-01-12,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-01-12,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-01-12,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-01-12,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-01-12,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-01-12,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-01-12,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-01-12,nation,ca,129,74,14,475,90,213
201647,2016-11-26,2017-01-12,nation,ca,126,84,19,420,88,347
201648,2016-12-03,2017-01-12,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-01-12,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-01-12,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-01-12,nation,ca,160,100,70,347,274,1125
201652,2016-12-31,2017-01-12,nation,ca,173,87,85,232,276,1314
201701,2017-01-07,2017-01-12,nation,ca,199,99,128,282,412,1515
201635,2016-09-05,2017-01-05,nation,ca,49,26,11,230,5,250
201636,2016-09-12,2017-01-05,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2017-01-05,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2017-01-05,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2017-01-05,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2017-01-05,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2017-01-05,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2017-01-05,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2017-01-05,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2017-01-05,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2017-01-05,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2017-01-05,nation,ca,129,74,14,475,90,213
201647,2016-11-26,2017-01-05,nation,ca,126,84,19,420,88,347
201648,2016-12-03,2017-01-05,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2017-01-05,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2017-01-05,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2017-01-05,nation,ca,161,100,70,357,274,1120
201652,2016-12-31,2017-01-05,nation,ca,167,84,78,241,261,1269
201635,2016-09-05,2016-12-29,nation,ca,49,26,11,230,5,250
201636,2016-09-12,2016-12-29,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2016-12-29,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2016-12-29,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2016-12-29,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2016-12-29,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2016-12-29,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2016-12-29,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2016-12-29,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2016-12-29,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2016-12-29,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2016-12-29,nation,ca,129,74,14,475,90,213
201647,2016-11-26,2016-12-29,nation,ca,126,84,19,420,88,347
201648,2016-12-03,2016-12-29,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2016-12-29,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2016-12-29,nation,ca,168,105,60,339,220,819
201651,2016-12-24,2016-12-29,nation,ca,152,90,70,348,264,1011
201635,2016-09-05,2016-12-22,nation,ca,49,26,11,230,5,250
201636,2016-09-12,2016-12-22,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2016-12-22,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2016-12-22,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2016-12-22,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2016-12-22,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2016-12-22,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2016-12-22,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2016-12-22,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2016-12-22,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2016-12-22,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2016-12-22,nation,ca,133,77,15,501,91,225
201647,2016-11-26,2016-12-22,nation,ca,133,85,20,422,90,375
201648,2016-12-03,2016-12-22,nation,ca,137,117,29,387,134,478
201649,2016-12-10,2016-12-22,nation,ca,147,90,28,410,178,667
201650,2016-12-17,2016-12-22,nation,ca,162,105,60,325,213,772
201635,2016-09-05,2016-12-15,nation,ca,49,26,11,230,5,250
201636,2016-09-12,2016-12-15,nation,ca,23,22,5,246,4,18
201637,2016-09-17,2016-12-15,nation,ca,50,24,2,359,7,29
201638,2016-09-24,2016-12-15,nation,ca,60,33,5,429,21,31
201639,2016-10-01,2016-12-15,nation,ca,47,28,3,511,10,35
201640,2016-10-08,2016-12-15,nation,ca,46,38,7,499,18,41
201641,2016-10-15,2016-12-15,nation,ca,60,37,5,402,11,47
201642,2016-10-22,2016-12-15,nation,ca,70,39,7,421,20,71
201643,2016-10-29,2016-12-15,nation,ca,104,44,4,364,40,72
201644,2016-11-05,2016-12-15,nation,ca,91,33,10,363,48,125
201645,2016-11-12,2016-12-15,nation,ca,97,65,19,491,68,182
201646,2016-11-19,2016-12-15,nation,ca,133,77,15,501,91,225
