epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201634,2016-08-27,2016-09-01,lab,orillia phl,8.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
201634,2016-08-27,2016-09-01,lab,thunder bay phl,12.0,0.0,0.0,0.0,0.0,12.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,3.0,0.0,2.0,0.0
201634,2016-08-27,2016-09-01,lab,sudbury phl,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201634,2016-08-27,2016-09-01,lab,hamilton phl,18.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,17.0,0.0,5.0,0.0,4.0,0.0
201634,2016-08-27,2016-09-01,lab,peterborough phl,15.0,0.0,1.0,1.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,6.0,0.0,6.0,0.0
201634,2016-08-27,2016-09-01,region,on,452.0,0.0,2.0,4.0,1.0,450.0,5.0,362.0,1.0,6.0,12.0,1.0,0.0,375.0,3.0,361.0,3.0,184.0,34.0,165.0,1.0
201634,2016-08-27,2016-09-01,lab,mb,111.0,0.0,0.0,0.0,0.0,103.0,4.0,74.0,0.0,0.0,2.0,0.0,0.0,74.0,0.0,29.0,0.0,74.0,6.0,29.0,1.0
201634,2016-08-27,2016-09-01,lab,regina,133.0,0.0,0.0,0.0,0.0,133.0,5.0,133.0,0.0,1.0,1.0,0.0,0.0,133.0,4.0,133.0,1.0,133.0,43.0,133.0,4.0
201634,2016-08-27,2016-09-01,lab,saskatoon,45.0,0.0,0.0,0.0,0.0,45.0,3.0,45.0,0.0,0.0,3.0,0.0,0.0,45.0,2.0,45.0,0.0,45.0,12.0,0.0,0.0
201634,2016-08-27,2016-09-01,lab,sk,178.0,0.0,0.0,0.0,0.0,178.0,8.0,178.0,0.0,1.0,4.0,0.0,0.0,178.0,6.0,178.0,1.0,178.0,55.0,133.0,4.0
201634,2016-08-27,2016-09-01,lab,ab,275.0,0.0,1.0,4.0,1.0,275.0,0.0,275.0,6.0,0.0,0.0,0.0,0.0,275.0,2.0,275.0,1.0,275.0,41.0,275.0,1.0
201634,2016-08-27,2016-09-01,region,prairies,564.0,0.0,1.0,4.0,1.0,556.0,12.0,527.0,6.0,1.0,6.0,0.0,0.0,527.0,8.0,482.0,2.0,527.0,102.0,437.0,6.0
201634,2016-08-27,2016-09-01,region,bc,155.0,0.0,2.0,4.0,0.0,155.0,0.0,77.0,0.0,0.0,4.0,1.0,0.0,77.0,0.0,77.0,0.0,77.0,13.0,77.0,0.0
201634,2016-08-27,2016-09-01,lab,yt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
201634,2016-08-27,2016-09-01,lab,nt,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0
201634,2016-08-27,2016-09-01,lab,nu,13.0,0.0,0.0,0.0,0.0,13.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0
201634,2016-08-27,2016-09-01,region,territories,17.0,0.0,0.0,0.0,0.0,17.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,6.0,2.0,6.0,0.0
201634,2016-08-27,2016-09-01,nation,ca,1614.0,0.0,5.0,13.0,2.0,1596.0,26.0,1347.0,8.0,11.0,30.0,2.0,0.0,1369.0,16.0,1212.0,5.0,833.0,156.0,918.0,8.0
201633,2016-08-20,2016-08-25,lab,nl,29.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,29.0,4.0,29.0,0.0,29.0,4.0,,
201633,2016-08-20,2016-08-25,lab,pe,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201633,2016-08-20,2016-08-25,lab,ns,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
201633,2016-08-20,2016-08-25,lab,nb,13.0,0.0,0.0,0.0,0.0,13.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201633,2016-08-20,2016-08-25,region,atlantic,46.0,0.0,0.0,0.0,0.0,46.0,2.0,49.0,0.0,0.0,3.0,0.0,0.0,49.0,4.0,33.0,0.0,33.0,4.0,4.0,0.0
201633,2016-08-20,2016-08-25,lab,région nord est,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201633,2016-08-20,2016-08-25,lab,québec chaudière appalaches,98.0,0.0,0.0,0.0,0.0,114.0,2.0,106.0,0.0,0.0,3.0,0.0,0.0,114.0,0.0,96.0,0.0,,,96.0,0.0
201633,2016-08-20,2016-08-25,lab,centre du québec,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201633,2016-08-20,2016-08-25,lab,montréal laval,365.0,0.0,0.0,1.0,0.0,368.0,3.0,336.0,0.0,2.0,4.0,0.0,0.0,349.0,7.0,238.0,1.0,,,231.0,2.0
201633,2016-08-20,2016-08-25,lab,ouest du québec,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201633,2016-08-20,2016-08-25,lab,montérégie,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201633,2016-08-20,2016-08-25,region,qc,481.0,0.0,0.0,2.0,0.0,495.0,5.0,442.0,0.0,2.0,7.0,0.0,0.0,463.0,7.0,334.0,1.0,,,327.0,2.0
201633,2016-08-20,2016-08-25,lab,ottawa phl,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0
201633,2016-08-20,2016-08-25,lab,cheo ottawa,54.0,0.0,0.0,0.0,0.0,55.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,1.0,16.0,0.0
201633,2016-08-20,2016-08-25,lab,kingston phl,13.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,13.0,0.0,7.0,5.0,7.0,0.0
201633,2016-08-20,2016-08-25,lab,toronto medical laboratory,106.0,0.0,0.0,0.0,0.0,106.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
