epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
202234,2022-08-27,2022-09-01,lab,nl,221.0,0.0,0.0,0.0,0.0,0.0,221.0,7.0,221.0,3.0,0.0,0.0,0.0,0.0,221.0,2.0,221.0,4.0,221.0,38.0,221.0,0.0
202234,2022-08-27,2022-09-01,lab,pe,41.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,41.0,0.0,0.0,2.0,0.0,0.0,41.0,0.0,41.0,1.0,41.0,24.0,41.0,0.0
202234,2022-08-27,2022-09-01,lab,ns,371.0,0.0,0.0,0.0,0.0,0.0,371.0,3.0,36.0,0.0,0.0,0.0,1.0,0.0,36.0,1.0,36.0,0.0,36.0,8.0,36.0,0.0
202234,2022-08-27,2022-09-01,lab,nb,351.0,0.0,0.0,0.0,0.0,0.0,278.0,1.0,34.0,0.0,0.0,3.0,0.0,0.0,34.0,6.0,34.0,0.0,34.0,2.0,34.0,0.0
202234,2022-08-27,2022-09-01,region,atlantic,984.0,0.0,0.0,0.0,0.0,0.0,911.0,12.0,332.0,3.0,0.0,5.0,1.0,0.0,332.0,9.0,332.0,5.0,332.0,72.0,332.0,0.0
202234,2022-08-27,2022-09-01,lab,région nord est,627.0,0.0,0.0,2.0,2.0,0.0,228.0,1.0,16.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,5.0,0.0,,,5.0,0.0
202234,2022-08-27,2022-09-01,lab,québec chaudière appalaches,333.0,0.0,0.0,0.0,0.0,0.0,333.0,4.0,36.0,1.0,0.0,0.0,0.0,0.0,187.0,3.0,187.0,4.0,,,97.0,0.0
202234,2022-08-27,2022-09-01,lab,centre du québec,303.0,0.0,0.0,0.0,0.0,0.0,277.0,1.0,42.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,42.0,3.0,,,42.0,0.0
202234,2022-08-27,2022-09-01,lab,montréal laval,742.0,0.0,0.0,1.0,1.0,0.0,705.0,17.0,390.0,2.0,1.0,1.0,0.0,0.0,390.0,7.0,390.0,15.0,,,408.0,1.0
202234,2022-08-27,2022-09-01,lab,ouest du québec,220.0,0.0,0.0,1.0,1.0,0.0,220.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.0,,,7.0,0.0
